,Batch,Eng7,Eng8,Eng9,Math7,Math8,Math9,Sci7,Sci8,Sci9,GWA7,GWA8,GWA9,UP,IQ,Target
112,2005,67,67.0,69,73,68,55.0,76,67,61,2.0142,2.1636,2.2295,0,31.0,0
113,2005,76,76.0,75,74,63,66.0,78,72,64,1.9292,1.9682,2.0328,1,52.0,1
114,2005,72,81.0,84,90,82,84.0,87,74,76,1.5519,1.6682,1.6148,0,91.0,1
115,2005,77,82.0,81,83,75,80.0,88,83,81,1.5896,1.5727,1.582,1,31.0,1
116,2005,71,82.0,74,94,89,89.0,90,82,77,1.5849,1.6545,1.8402,0,88.0,1
117,2005,73,71.0,69,78,75,75.0,83,74,75,1.717,1.8955,1.9672,0,87.0,1
118,2005,64,69.0,68,92,80,86.0,80,73,71,1.8066,1.8136,1.8566,1,67.0,0
119,2005,76,79.0,76,78,71,61.0,82,72,67,1.7075,1.8591,2.0738,0,79.0,1
120,2005,80,83.0,81,88,77,87.0,90,82,75,1.4575,1.6,1.6393,1,67.0,1
121,2005,57,52.0,53,67,57,54.0,61,62,55,2.4151,2.6136,2.709,1,52.0,0
122,2005,59,63.0,62,71,71,72.0,61,56,65,2.4575,2.4091,2.2377,0,55.0,0
123,2005,85,89.0,86,96,95,94.0,96,94,93,1.2311,1.2409,1.3033,1,73.0,1
124,2005,84,88.0,85,95,94,95.0,93,91,90,1.2642,1.2455,1.3197,1,92.0,1
125,2006,56,58.0,60,83,71,78.0,69,61,66,2.1745,2.3136,2.3525,1,62.0,0
126,2006,72,76.0,77,74,70,74.0,80,71,74,1.7877,1.8727,1.8402,0,77.0,0
127,2006,89,83.0,85,80,76,76.0,86,87,78,1.4104,1.6364,1.7008,2,75.0,1
128,2006,67,67.0,70,66,62,71.0,76,63,74,2.066,2.1136,2.041,1,48.0,0
129,2006,56,59.0,65,58,53,58.0,66,57,63,2.4811,2.4182,2.2787,1,43.0,0
130,2006,71,74.0,76,79,76,75.0,87,76,72,1.8302,1.9364,2.0287,0,89.0,1
131,2006,61,63.0,68,75,65,66.0,73,55,66,2.1698,2.2955,2.2336,1,33.0,0
132,2006,66,69.0,68,75,62,59.0,74,58,70,2.066,2.1682,2.0984,1,43.0,0
133,2006,61,55.0,63,64,46,54.0,66,52,58,2.2358,2.5682,2.459,1,52.0,1
134,2006,64,53.0,67,66,57,63.0,68,50,60,2.3396,2.6773,2.4754,0,55.0,0
135,2006,69,73.0,76,81,62,58.0,71,68,70,1.783,1.9773,2.0779,1,92.0,1
136,2006,76,68.0,74,66,56,64.0,70,63,66,2.1085,2.1864,2.1475,1,43.0,1
137,2006,63,61.0,62,62,58,59.0,73,65,61,2.2028,2.3909,2.5,0,57.0,0
138,2006,54,69.0,62,61,47,51.0,62,54,60,2.4057,2.5,2.4262,1,19.0,0
139,2006,70,71.0,72,62,59,70.0,73,73,74,2.0708,2.0182,2.0451,1,48.0,0
140,2006,88,91.0,91,96,95,95.0,97,98,94,1.1651,1.1273,1.2254,1,95.0,1
141,2006,70,72.0,78,69,60,64.0,72,70,63,2.0896,2.0364,2.1762,1,86.0,1
142,2006,64,66.0,70,65,60,59.0,69,73,64,2.2453,2.1136,2.2787,0,35.0,0
143,2006,75,78.0,81,76,72,75.0,90,81,84,1.6226,1.6545,1.7541,0,79.0,1
144,2006,63,60.0,67,69,67,68.0,77,56,62,2.0849,2.3727,2.2828,1,52.0,0
145,2006,90,91.0,87,93,90,95.0,94,96,91,1.1981,1.1545,1.2541,0,71.0,1
146,2006,75,73.0,76,84,83,80.0,81,82,78,1.6604,1.6318,1.8648,0,69.0,1
147,2006,89,82.0,83,89,78,83.0,91,89,85,1.2264,1.4545,1.5738,1,55.0,1
148,2006,80,81.0,80,74,80,84.0,80,70,81,1.7642,1.7273,1.7828,1,71.0,1
149,2006,76,80.0,85,82,87,93.0,81,87,86,1.717,1.4818,1.5287,0,65.0,1
150,2006,68,63.0,70,83,65,71.0,76,69,66,2.0377,2.2636,2.2541,0,69.0,1
151,2006,70,70.0,75,90,93,87.0,79,73,73,1.8255,1.8545,1.9139,2,86.0,1
152,2006,81,78.0,74,79,74,73.0,79,74,72,1.6462,1.7636,1.8893,2,71.0,1
153,2006,84,85.0,82,94,96,96.0,89,87,93,1.2877,1.3318,1.3566,1,79.0,1
154,2006,86,84.0,85,95,93,93.0,93,94,88,1.2123,1.3,1.4508,0,75.0,1
155,2006,65,69.0,72,72,70,78.0,74,66,78,2.1179,2.1818,2.0779,1,45.0,1
156,2006,91,89.0,92,73,73,75.0,91,93,75,1.4528,1.3909,1.582,0,57.0,1
157,2006,72,77.0,76,82,74,76.0,82,81,81,1.7264,1.7636,1.6025,1,40.0,1
158,2006,64,70.0,78,78,76,86.0,72,68,78,1.9906,2.0864,1.8443,1,69.0,1
159,2006,75,75.0,80,80,86,85.0,84,79,86,1.7028,1.7227,1.5984,1,75.0,1
160,2006,58,58.0,61,63,52,60.0,71,60,64,2.3208,2.4773,2.3525,2,35.0,0
161,2006,80,80.0,86,88,86,94.0,88,91,93,1.4009,1.3727,1.3156,0,73.0,1
162,2006,75,74.0,83,88,70,76.0,84,79,81,1.7264,1.8955,1.877,1,81.0,1
163,2006,76,82.0,84,76,74,79.0,75,77,79,1.8302,1.7227,1.7213,0,96.0,1
164,2006,74,76.0,76,90,86,88.0,83,80,88,1.5991,1.6545,1.6762,1,71.0,1
165,2006,72,71.0,73,75,65,61.0,76,64,69,1.9575,2.2045,2.3648,2,96.0,0
166,2006,67,67.0,71,63,55,66.0,68,58,70,2.1981,2.2591,2.0943,2,65.0,0
167,2006,61,61.0,58,77,69,50.0,74,57,58,2.1651,2.3682,2.6434,1,81.0,0
168,2006,56,57.0,66,63,59,50.0,66,62,60,2.4434,2.4682,2.6762,0,71.0,0
169,2006,80,82.0,81,78,74,71.0,86,73,70,1.533,1.7182,2.0123,1,81.0,1
170,2006,76,72.0,76,81,73,73.0,81,77,73,1.6745,1.85,2.0041,1,93.0,1
171,2006,81,72.0,81,79,79,81.0,78,81,73,1.6462,1.7091,1.9262,0,71.0,1
172,2006,57,55.0,65,69,60,60.0,69,66,68,2.2689,2.2727,2.2992,1,52.0,0
173,2006,58,50.0,59,73,56,62.0,70,59,59,2.1887,2.5955,2.4836,2,83.0,0
174,2006,64,67.0,63,78,76,72.0,85,59,72,1.8538,2.1818,2.2582,1,71.0,0
175,2006,72,70.0,74,81,76,73.0,79,68,69,1.7594,2.0273,2.0328,0,69.0,1
176,2006,90,91.0,93,79,72,77.0,83,81,77,1.5519,1.6,1.6148,1,97.0,1
177,2006,67,69.0,75,70,60,67.0,75,63,71,2.066,2.1818,2.0082,1,60.0,1
178,2006,72,74.0,72,71,61,59.0,69,64,63,2.0489,2.1227,2.209,2,52.0,0
179,2006,76,73.0,73,78,69,75.0,77,69,71,1.7972,1.9318,2.0533,1,97.0,1
180,2006,72,75.0,82,80,76,82.0,83,71,76,1.9057,1.8818,1.8607,0,93.0,1
181,2006,58,56.0,62,54,53,54.0,71,64,64,2.4717,2.3636,2.5533,1,52.0,0
182,2006,60,61.0,67,63,56,59.0,68,55,67,2.3019,2.3818,2.2295,1,40.0,0
183,2006,69,64.0,71,77,69,69.0,82,76,74,1.9057,2.0318,1.9959,0,50.0,0
184,2006,81,85.0,80,90,74,70.0,87,77,77,1.4387,1.6818,1.8525,2,71.0,1
185,2006,79,83.0,84,88,82,83.0,88,87,85,1.4434,1.5636,1.623,0,69.0,1
186,2006,91,90.0,93,80,80,81.0,90,85,81,1.3632,1.3909,1.4467,0,91.0,1
187,2006,72,65.0,75,82,67,78.0,83,70,78,1.7877,2.2591,2.0779,2,77.0,1
188,2006,76,76.0,84,86,79,87.0,90,82,86,1.5,1.6682,1.5656,1,57.0,1
189,2006,82,81.0,79,92,89,84.0,90,87,86,1.3726,1.4727,1.668,0,86.0,1
190,2006,73,74.0,73,73,76,78.0,77,71,81,1.9009,1.9132,1.8893,1,75.0,0
191,2006,72,78.0,72,73,71,74.0,88,89,76,1.6698,1.5636,1.9385,1,52.0,1
192,2006,78,79.0,83,88,91,96.0,84,82,96,1.6226,1.5545,1.4139,1,73.0,1
193,2006,93,89.0,90,95,95,89.0,94,97,89,1.1934,1.1545,1.3648,0,98.0,1
194,2006,62,59.0,61,64,54,55.0,72,56,51,2.1745,2.5318,2.6516,0,65.0,0
195,2006,89,86.0,87,83,75,74.0,85,79,78,1.4528,1.6045,1.6352,1,87.0,1
196,2006,90,92.0,92,98,99,97.0,97,98,94,1.1038,1.0727,1.2131,0,95.0,1
197,2006,75,75.0,77,68,56,52.0,76,67,61,1.9057,2.0818,2.1844,1,43.0,0
198,2006,59,58.0,61,55,59,58.0,67,61,57,2.5094,2.4455,2.3893,0,35.0,0
199,2006,65,68.0,69,85,81,83.0,77,61,72,2.0377,1.9955,2.0164,1,52.0,0
200,2006,82,80.0,71,64,56,50.0,75,64,58,1.9623,2.1091,2.4467,0,88.0,1
201,2006,67,67.0,74,66,57,64.0,74,64,69,2.1132,2.1955,2.0041,1,52.0,1
202,2006,79,78.0,83,70,69,74.0,83,82,76,1.7123,1.7182,1.791,1,69.0,1
203,2006,67,64.0,70,74,63,75.0,77,64,75,1.967,2.1773,2.0,1,17.0,0
204,2006,68,31.0,69,56,49,55.0,73,52,63,2.1698,2.4409,2.3115,1,48.0,0
205,2006,68,65.0,69,62,50,57.0,77,55,62,2.1981,2.4136,2.2582,1,31.0,1
206,2006,66,61.0,64,77,58,62.0,82,69,60,2.1557,2.4182,2.4549,1,71.0,1
207,2006,57,50.0,55,62,50,50.0,54,54,50,2.5708,2.8182,3.2765,1,31.0,0
208,2006,79,79.0,82,87,93,94.0,88,86,85,1.5236,1.4682,1.5943,0,89.0,1
209,2006,68,62.0,70,76,68,59.0,75,62,62,1.9151,2.2045,2.2746,0,93.0,0
210,2006,83,83.0,82,84,82,79.0,92,91,82,1.4245,1.5227,1.709,2,69.0,1
211,2006,60,69.0,76,72,69,73.0,69,68,73,2.1745,2.1227,2.0574,2,89.0,0
212,2006,70,66.0,74,76,68,79.0,83,71,77,1.9009,2.1364,1.9057,1,62.0,0
213,2006,68,69.0,74,87,83,88.0,85,78,85,1.6745,1.7455,1.7213,0,55.0,1
214,2006,53,55.0,54,48,47,51.0,52,50,51,2.7406,2.7136,2.7869,1,50.0,0
215,2006,76,78.0,75,79,85,83.0,87,84,78,1.6179,2.2182,1.6926,0,71.0,1
216,2006,82,82.0,82,93,94,91.0,93,87,86,1.3491,1.4273,1.4631,0,86.0,1
217,2006,59,57.0,72,55,51,54.0,67,60,55,2.5,2.6318,2.4672,1,60.0,0
218,2006,61,60.0,53,71,65,64.0,77,62,61,2.1274,2.2727,2.0442,0,57.0,0
219,2006,78,74.0,73,76,75,70.0,81,79,76,1.7217,1.8182,1.9467,0,88.0,1
220,2006,68,70.0,76,78,60,66.0,75,57,66,2.0377,2.3,2.1148,1,65.0,1
221,2006,58,59.0,64,59,62,64.0,70,56,65,2.434,2.3773,2.3279,1,31.0,0
